id,ano,site,comentarios,rotulacao_manual,id_rotulador
25,2019-04-08,Folha,"el ejército de brasil, que está a cargo de la seguridad pública en rio de janeiro desde el año pasado, fusiló a un músico que iba en auto con su familia dispararon más 80 tiros",0,C
21,2021-11-07,Folha,eles derrubaram uma adulta em cima de um bebê,-1,M
21,2021-11-07,G1,zero pessoas gostam da polícia,0,M
21,2021-11-06,G1,"a pmmg na minha opinião e uma das polícias mais despreparada do brasil, isso e vergonhoso, a começar que era um policial imobilizando uma mulher aí fica mais vergonhoso que a mulher estava com uma criança no colo, vergonha total!!!",-1,M
23,2020-05-19,G1,ele foi assassinado por policiais na sala de casa,-1,M
25,2019-04-08,G1,família ou o cantor?,0,M
18,2019,UOL,"Fiquei pensando...puxa o homem foi morto e não saberei ''qual seria o motivo dele para o sequestro?''....aí reconheço que tive um pensamento mórbido...já que não existe motivo que justifique uma ação dessa de parte de ninguém. Não comemoro a morte; porem uma pessoa que é capaz de aterrorizar inocentes que não tem nada a ver com a crise pessoal, que coloca em risco a vida dos outros..... que não tem intenção de negociar...é complicado, e a decisão a tomar é difícil e tensa em casos assim...quanto mais devia demorar todo esse terror? aí muitos ficam julgando o resultado só porque não estavam presentes, e ficam pensando em um monte de ações possíveis que poderiam ter sido tomadas ... Eu só imagino que para as pessoas que saíram ilesas (os reféns) foi aliviador ver acabar o pesadelo.",1,M
18,2019,UOL,sonha cara doido igual esse ai não falta. esse ai desde o inicio queria morrer,1,M
18,2019,UOL,"PROTO A FOLHA/UOL, GLOBO E OS DIREITOS DOS MANOS, VÃO PEDIR PARA PRENDER O OU OS POLICIAIS QUE ATIRARAM!",0,M
18,2019,UOL,Tá demorando os tais especialistas consultado pelo UOL.,0,M
18,2019,UOL,"Fatiou, passou... Boooa, zero meia!",0,M
23,2020-05-19,G1,nada justifica essa situação o dia 14 de maio perdura até hoje racismo na ação da polícia,-1,M
18,2019,UOL,"o rei do adesivo, essa não cola mais !",0,M
22,2021-06-28,G1,"lázaro barbosa morre após ser preso em goiás, diz polícia após 20 dias de uma megaoperaç",0,M
20,2019,UOL,"Parabéns aos envolvidos pela morte da criança. O tráfico não vai acabar e a violência idem, mas uns espertos por aqui acham que essa é a forma inteligente de combater o crime, trocando tiros com bandidos.",-1,M
18,2019-08-20,G1,acordo agora com essa notícia #sequestroponterioniteroi de ônibus na ponte rioniterói é morto foram três horas e meia de cerco | rio de janeiro | g1,0,M
20,2019-09-21,Folha,"isso mesmo, mortos por bandidos e a polícia serve pra matar inocentes ou prender bandidos??? uma criança tem qual culpa??? pensa antes de escrever merda!!",-1,M
18,2019-08-20,G1,"homem armado faz reféns em ônibus na ponte rioniterói tráfego em direção ao rio está fechado | rio de janeiro | g1 esperando o filme mostrando a vida dura e sofrida do bandido em 3, 2, 1",0,M
22,2021-06-28,G1,"e onde que no brasil se paga pelo seus crimes, exemplo disso é lula solto e ainda considerado inocente pelo stf, foi um triste fim para lázaro, mas foi o fim que ele escolheu pra vida dele",0,M
20,2019-09-21,G1,a culpa é do lula e do pt,0,M
22,2021-06-28,G1,"tá chorando pelo teu bandido de estimação, boiolinha do bostanaro?",-1,C
21,2021-11-09,G1,"ficou estranho reinaldo o policial tem a obrigação de agir em flagrante delito não importa se tem filho, se não tem, se está com os pais no hospital e etc",1,G
18,2019,UOL,"Agora que identificaram o sequestrador, levantem o patrimônio dele, leiloem tudo e retenham para pagar os transtornos psíquicos gerados às vítimas e ao restante da sociedade. De resto, parabéns ao governo do RJ.",1,M
22,2021-06-28,G1,drauzio varela e a globo não poderão dar o abraço da morte em lázaro glória a deus,1,C
22,2021-06-28,G1,quem matou lazaro e por que?,0,M
18,2019-08-20,UOL,agora ele está batendo um papo com o capeta,1,M
18,2019-08-20,G1,duas pessoas já foram liberadas do ônibus,0,G
26,2021-05-06,UOL,cláudio castro mal assumiu em definitivo e já faz história!! lindo,0,M
18,2019,UOL,lá isso é verdade..bicho ruim de tiro..,0,M
22,2021-06-28,G1,"lázaro barbosa, o 'serial killer do df', foi capturado, diz governador de goiás via",0,M
24,2020-07-03,G1,acho que vc continua falando de si mesmo,0,M
22,2021-06-28,G1,"ironia é algo que minha deficiência me impede de compreender com precisão quando as pessoas usam disso, fico extremamente irritado assim, justifica no entanto, desculpe não era minha intenção ofendêlo foi uma ação impulsiva diante da ironia",0,G
18,2019-08-20,G1,already dead thank god,0,M
23,2020-05-20,G1,"joão pedro, de 14 anos, é assassinado, durante operação em são gonçalo, no rio",0,M
18,2019-08-20,UOL,"eu tô, mas mais pelos sobreviventes, a situação não tava 100% controlada, era oque tinha que ser feito",1,M
21,2021-11-07,G1,“não acabou! tem que acabar! eu quero o fim da #políciamilitar!”,-1,C
18,2019-08-20,UOL,vão fazer documentário e dizer que o sequestrador foi vítima da sociedade,1,M
18,2019-08-20,G1,"é só entregarem flores ou livros, este nobre e coitado bandido, irá se arrepender e tudo acabará bem",0,M
18,2019,UOL,"A gasolina era água benta, ele foi lá para batizar o filho da mulher gravida, um anjinho oprimido",1,M
20,2019-09-21,UOL,"menina de 8 anos morre baleada após operação policial no complexo do alemão como é que falam mesmo? ""mais um cpf cancelado""? #vergonha #aculpaedowitzel",-1,M
18,2019,UOL,A rapaziada dos Direito Humanos devem estar revoltados porque mataram o sequestrador. Traz a Maria do Rosario PT para defender e acusar os militares de criminosos. Enquanto isso a população que vem entendendo que a filosofia de vida mudou. Vibram com a ação do BOPE ter derrubado um infeliz que queria matar 37 pessoas inocentes. KKKKKK - Acorda Maria do Rosário teu tempo está acabando.,1,M
18,2019,UOL,"Esse acontecimento é uma coisa muita triste, não tem nada para comemorar.",-1,M
18,2019,UOL,Dessa vez eles erraram o inocente hein... Tão melhorando,1,M
25,2019-05-24,UOL,"por morte não, por assassinato",-1,M
18,2019,UOL,Mas bem que a policia carioca poderia começar a fazer isso também nas áreas controladas pelas milícias.,1,M
23,2020-05-20,G1,"no alto do cume, tinha uma roseira, o vento no cume me bate, o vento no cume me chera",0,C
18,2019-08-20,Folha,hahaha se fudeu!,0,M
23,2020-05-20,G1,morreu ? ele foi fuzilado dentro da sua casa !!!,-1,M
21,2021-11-06,Folha,"olha a vítima ""durante a abordagem foram apreendidas quatro munições calibre 32 com o homem para impedir a apreensão da arma de fogo que estava consigo, a mulher se agarrou a uma criança, usandoa como escudo humano e se recusando a largála""",1,M
18,2019,UOL,Finalmente o país está mudando. Bandido tem que ter tratamento diferenciado. Ou a cadeia ou a cova,1,M
24,2020-07-01,G1,"antes defensor de pm do que de bandido puta que pariu cara, seja contra a parcela da polícia que faz merda, por quê, por definição, bandidos, por serem bandidos, fazem merda então seja contra",1,M
22,2021-06-28,G1,"quem supostamente estava envolvido foi preso e está sendo investigado, não ?",0,C
21,2021-11-06,UOL,isso o prefeito da cidade disse q vai fazer,0,C
25,2019-05-23,UOL,já já vão mandar pra colocarem receita de bolo no lugar desse assunto para idiotas continuarem achando q na ditadura só tinha coisas boas,-1,C
21,2021-11-06,UOL,um erro não justifica o outro,0,M
21,2021-11-06,G1,cade o vademecum seu imbecil? lei todo o artigo é foda preguiça do caralho por isso come capim vou te ajudar,0,M
18,2019-08-20,Folha,"a arma era mesmo de brinquedo que bom que os 37 passageiros não tiveram ferimentos mas é lamentável que uma pessoa tenha morrido não importa que ele fosse o sequestrador, o importante, mas ninguém parece querer saber é como ele se tornou um criminoso (",-1,G
22,2021-06-28,G1,"continue na computação engenharia, deixa saúde mental para quem entende de saúde mental",0,G
21,2021-11-07,G1,briguem desgraçados briguem,0,M
26,2021-05-07,Folha,ele não sabe que a milícia é o estado,0,M
22,2021-06-28,G1,legítima defesa de terceiros,0,M
23,2020-05-19,G1,"claro, a policia foi la trocar tiros entre ela",0,M
24,2020-07-02,G1,até quando isso?,-1,C
18,2019,UOL,"Parabéns a PM do RJ e ao Sniper, belíssimo trabalho e profissionalismo.",1,M
18,2019-08-20,G1,parabéns para a policial!! que venha os doutrinados encher a paciência!,1,M
23,2020-05-19,G1,você sabe que a culpa dos pretos se amontoarem nas favelas é culpa do branco rico ne?,-1,G
18,2019,UOL,E isso aí. Tolerância zero e atitudes competentes e eficazes para resolver este tipo de problema.,1,M
23,2020-05-19,G1,ele foi assassinado pela polícia dentro da sua própria casa e depois sequestrado pela polícia! noticia direito g1,1,G
18,2019,Folha,"Complementando: a jovem que perdeu a vida, tinha 26 anos e deixou um filho.",0,M
24,2020-07-02,G1,"a irmã do menino disse que foi tiro de bandido, o cara foi até morto creio que pelos próprios bandidos",1,G
20,2019-09-21,Folha,"é isso que ele quer, matar tantos até que não haja mais repercussão, ele sabe que punição neste país é só contra esquerdistas",-1,M
18,2019,UOL,"Não adianta chorar, implorar, querer parecer!! A Polícia Militar realmente resolve o problema!! Polícia Rodoviária Federal e somente para multas! Polícia Federal p investigações! Parabéns a Polícia Militar do Rio de janeiro!!",1,M
22,2021-06-28,G1,"olhe o exemplo de nossa imprensa veja o que sugere que foi morto depois de preso, nem fala de troca de tiros imprensa marron, parabens aos policiais de goias, pela limpeza lázaro barbosa morre após ser preso em goiás, diz polícia",1,M
24,2020-07-01,G1,"concordo muito! tem alma sebosa na polícia sim! mas a mensagem que eu quero passar, é que quando o bandido mata, virou rotina, é só mais um quando a polícia mata, generalizam toda a polícia! surge em todos os jornais! e nem buscam saber se houve culpa do fardado",1,G
18,2019,UOL,"Para desespero da Globo e da Band, o bandido foi morto.",1,M
23,2020-05-20,G1,"meu caro preste atenção, isso não era uma resposta a um tweet seu falta de atenção tá grande por aí hein",0,C
18,2019,UOL,"kkkkkkk o parmera já não sobe mais, kkkkk",0,M
21,2021-11-06,Folha,"concordo q a educação é o principal instrumento contra qualquer forma de opressão só que existe uma disciplina militar, com regras militares e tribunal militar corporativistas e de que nos serve os militares e o exército brasileiro se não for p conspirar contra seu povo?",0,M
18,2019,UOL,Segundo a nossa mídia o atirador estava de guarda chuvas. kkkkk,0,M
23,2020-05-19,G1,"ele foi vítima de uma bala perdida você não sabe se a bala veio da polícia, vamos ter certeza antes de falar!!!",1,G
25,2019-05-23,UOL,que justiça é essa que militares decidem sobre os militares? lógico que isso ia acontecer revoltante,-1,M
25,2019-04-09,G1,"falou leandro, o discípulo do discípulo do discípulo do suposto discípulo, ou seja, apenas um mais um aluno da loucademia de olavetes",0,C
24,2020-07-01,G1,cade o protesto contra o tráfico? foi a pm dessa vez?,0,M
21,2021-11-06,Folha,"os pms serão afastados, presos ou promovidos? ಠ_ಠ",0,C
21,2021-11-06,G1,"quer fazer merda, faz, agora usando o próprio filho como escudo é imperdoável e geral criticando a polícia queriam o que? que arriscassem que ela tivesse outra arma escondida e saísse atirando?",1,G
20,2019,UOL,"ENQUANTO OS EFEITOS COLATERAIS FOREM PRETOS E POBRES TUDO BEM, NÃO É MESMO?",-1,M
18,2019,UOL,"O policial fez apenas o trabalho dele. Fez jus ao salário que recebe, pago com o suor dos trabalhadores honestos e de bem da Nação Brasileira. Ele não comemorou nada, parem de colocar pilha #imprensalixo, respeitem o povo. Porque não dão enfase para que o ônibus estava cheio de trabalhadores as 6 hrs da manhã e estava sendo atrapalhados por um marginal ???",1,M
18,2019,UOL,"Pois não me preocupa em nada. Me preocupava enquanto ele estava vivo, agora passou...",1,M
23,2020-05-19,G1,"mataram o amigo do arnold que é negro, agora pro arnold não apontam nem a mira",0,M
21,2021-11-07,Folha,porque vocês socialistas existem!,0,G
18,2019,UOL,lula fora pra sempre.fora da política. bolsonaro reina absoluto,0,M
23,2020-05-19,G1,#globoliixo a mensageira da morte,1,C
23,2020-05-19,G1,"vcs estão de sacanagem né, ""morre"" ele foi assassinado e seu corpo sequestrado por agentes do estado que deveriam proteger",-1,M
23,2020-05-19,G1,"sim amigo, continue acreditando no seu mundo colorido de jujuba em que policiais militares são mártires incorruptíveis, completamente preparados e incapazes de cometer crime algum tudo que existe na favela é bandidagem e tiroteio e os policiais não são racistas ",-1,C
18,2019,UOL,"A POLICIA do Rio de Janeiro está mostrando com o novo Governador como se age, parabéns a toda a corporação da PM Carioca.",1,M
21,2021-11-06,G1,"vai tomar no seu cu, 2 polícias e um deles não fez porra nenhuma se os dois tivessem abordado corretamente não tinha dado essa merda ai vem você que é mais um fdp que baba ovo desses vermes defender, vai se fuder",-1,M
21,2021-11-06,Folha,sinceramente o que se treina nos quartéis da pm fazer m**** todo dia pms derrubam e imobilizam mulher com bebê no colo em itabira (mg,-1,M
18,2019,UOL,Parabéns a policia pelo brilhante trabalho!!! É isso que esperamos e precisamos.,1,M
22,2021-06-28,G1,"tipo quando era ele, armado contra pessoas indefesas",1,M
24,2020-07-01,G1,"não mano, na tua cabeça n tem nem cérebro",0,C
18,2019-08-20,G1,"agora a palavra ""bandido"" é substituída por ""homem"" quem disse que ele é um homem? perguntaram a ele?",0,M
26,2021-05-06,Folha,olha aí os inocentes,0,C
23,2020-05-19,G1,"me conta o que foi, meu querido",0,M
18,2019,UOL,"Errado, nada contrária à legislação, foram mais de três horas de tentativas para que se rendesse, sou corretamente a polícia preservando os reféns",1,M
18,2019,UOL,Excelente!! O Rio voltando a sério !!! Um PT1533 a menos. Parabéns !!,1,M
23,2020-05-19,G1,ele foi assasinado pela polícia !,-1,C
20,2019-09-21,Folha,correção menina de oito anos é assassinada pelo governador wilson witzel,-1,M
18,2019,UOL,Parabéns a esse atirador de elite. Menos um para praticar crimes. Todos da polícia que participaram desta operação de sucesso estão de PARABÉNS!!!,1,M
18,2019,UOL,Com certeza já estão correndo atrás dos direitos humanos pela morte do coitado do bandido.,0,M
24,2020-07-01,UOL,"faz uma lei pra proibir a violência tabata, de repente você consegue acabar com ela, igual você vai fazer com a nossa liberdade de expressão!!!!!!!!!!",1,C
22,2021-06-28,G1,lázaro morre após ser preso em goiás,0,G
